"Sõne","keel","Hääldus"
"Rodolphe","","Ro'dolf"
"Rodri","",""
"Rodrigo","","Ro'drigo"
"Rodrigues","",""
"Rodriguez","","Rodriges"
"Rodrigueze-taoliselt","",""
"Rodrik","",""
"Rodriku","",""
"Rods","",""
"Rodtšenko","",""
"Rodzinski","",""
"Rodzjanko","",""
"Roebuck","",""
"Roedean","","Rou'diin"
"Roelf","",""
"Roellinger","","Röllinger"
"Rog","",""
"Rogan","",""
"Roganovic","",""
"Rogatšov","",""
"Rogelio","",""
"Roger","en","Rodžer"
"Roger","et","+"
"Rogeri-valves","",""
"Rogerrr","",""
"Rogers","","Rodžers"
"Rogerwiek","",""
"Rogge","",""
"ROGINSKI","",""
"Rogo","",""
"Rõgoravitš","",""
"Rogosi","",""
"Rogozin","","Ro'gozin"
"Rogožin","","Ro'gožin"
"Rogožskaja","","Ro'gosskaja"
"Rogue","",""
"Röh","",""
"Rohan","",""
"Röhatushäälitsus","",""
"Röhde","","Rööde"
"Rohde","","Roode"
"Roheline-punane","",""
"Roheneemesaared)","",""
"Rohinil","",""
"Rohmeri","",""
"Rohner","",""
"Rohrbacher","","Roor'bahher"
"Rohrlach","","Roor'lahh"
"Rohrwacher","","Roor'vahher"
"Rohtsaar-Zerel","",""
"Rohtstein","",""
"Rohüpnool","",""
"Rohypnol","","rohüpnool"
"Roissy","",""
"Roitman","","+"
"Roja","",""
"Rojo","",""
"rok'n'roll'i","",""
"ROK-i","",""
"Rokat","",""
"Rokba","",""
"Rokbadi","",""
"Rokeby","",""
"Rokilik","",""
"rokisound'i","",""
"Rokkarijõuk","",""
"Rokkasho","",""
"Rökki","",""
"Rokko","",""
"Rokossovski","",""
"Roky","",""
"Roland","","+"
"Roland-Kerr","",""
"Rolandi-asi","",""
"Rolandi-mees","",""
"Rolandito","",""
"Rolando","",""
"Rolesy","",""
"Rolex","","+"
"Roley","",""
"Rolf","","+"
"Rolihlahla","",""
"roll'i","",""
"roll'ile","",""
"Rolland","","Rol'laan"
"Rolleiflex-kaamerat","",""
"Rollers","",""
"Rollie","",""
"Rolligenrundist","",""
"Rolling","","+"
"Rollingu","",""
"Rollinile","",""
"Rollins","","+"
"Rollo","",""
"Rolls","","+"
"Rolls-Royce","","Rolls Roiss"
"Rolls-Roycidest","",""
"Rolly","",""
"Rolsing","",""
"Roly","",""
"Roma","",""
"romaani-Sonja","",""
"Romain","","Romään"
"Romaks","",""
"Roman","","Ro'man"
"Romanée-Conti","",""
"Romania","",""
"Romaniei","",""
"Romann","",""
"Romano","",""
"Romanov","","Romaanov"
"Romanova","","Rom'anova"
"Romanski","",""
"Romantschuk","",""
"Romanumit","",""
"Romanus","",""
"Romany","",""
"Romario","",""
"Rombouts","",""
"Rome","","Rõum"
"Romec","",""
"Romek","",""
"Romeli","",""
"Romeo","","Roomeo"
"Römer","",""
"Romero","","Ro'mero"
"Romio","",""
"Romizi","",""
"Romme","",""
"Rommel","","+"
"Rommeli-vääriline","",""
"Rommi","",""
"Romney","","Romni"
"Romneycare","","Romni'keö"
"Romnyecare","",""
"Romnyel","",""
"Romodanovski","",""
"Romolo","",""
"Rompetrol","",""
"Rompuy","","+"
"Romuald","",""
"Romulus","",""
"Ron","","+"
"Ronald","","+"
"Ronaldinho","","Ronaldinjo"
"Ronaldino-särk","",""
"Ronaldo","","+"
"Ronan","",""
"Ronay","",""
"Ronca","",""
"Roncesvalles'is","",""
"Ronchoni","",""
"Roncole","",""
"Rõndzjun","",""
"Rongari","",""
"Rongba'd","",""
"rongba'sid","",""
"Rongo","",""
"Rõngus","",""
"ronin'id","",""
"Roninski","",""
"Ronja","",""
"Ronkainen","",""
"Rönkkö","",""
"Ronner","",""
"Ronnie","","Ronni"
"Ronnie-suguse","",""
"Ronnie-suguseid","",""
"Ronno","",""
"Ronny","","Ronni"
"Ronny35","",""
"Ronson","",""
"Röntgenogramm","",""
"Rontti","",""
"Roo'le","",""
"Roodermeyer","",""
"ROODMAN","",""
"Rooja-","",""
"röök'vad","",""
"Rooksby","",""
"Rooksnest","",""
"Rooma-aegne","",""
"Rooma-aegse","",""
"Rooma-katoliku","",""
"Rooma-reisil","",""
"Rõõmukonsultanditeenus","",""
"Rooney","","Ruuni"
"Roong","",""
"Roopiga","",""
"Roopil","",""
"Roosevelt","","Ruusvelt"
"Roosmalen","",""
"Rooster","",""
"Roosvalt","",""
"Roosve","",""
"Rootsi","","+"
"Rootsi-Ameerika","",""
"Rootsi-reisi","",""
"Rootsi-reisil","",""
"Rootsi-sõiduga","",""
"Rootsi-Taani","",""
"Röövijuhtum","",""
"Röövipäev","",""
"röövitud…","",""
"Rop","",""
"Roper","","Rouper"
"ROPOS","",""
"Ropp-rikkad","",""
"Roppongisse","",""
"Roque","",""
"Roquefort","","Rokfoor"
"Roremil","",""
"Rori","",""
"Rorke","",""
"Rorkes","",""
"Rorschach","","Ror'šahh"
"Rory","","Rori"
"Rory-Harvardi","",""
"Rory-nimeline","",""
"Rory-San","",""
"Ros","","+"
"ROS-LEHRINEN","",""
"Rosa","","+"
"Rosaleen","",""
"Rosales","",""
"Rošali","",""
"Rosalia","","+"
"Rosalie","","+"
"Rosalind","","+"
"Rosalinde","","Rosalind"
"Rosaline","",""
"Rosamond","",""
"Rosamund","","+"
"Rosanna","","+"
"Rosario","",""
"Rosato","",""
"Roscarrocki","",""
"Roscoe","","Roskõu"
"Roscommon","",""
"Roscommoni","",""
"Rose","","Rõus"
"Rose","da","Roose"
"Rose-Marie","",""
"Roseanne","","Rosänn"
"Rosebank","",""
"Roseberry","","Rõusberri"
"Roseberry-Sykes","",""
"Rosebud","",""
"Rosedale","",""
"Roseland","",""
"Roselgi","",""
"Rosella","","+"
"Roselliga","",""
"Rosellit","",""
"Rosemary","","Rousmarii"
"Rosemary-taolistega","",""
"Rosemarykella","",""
"Rosén","",""
"Rosenbadi","",""
"Rosenberg","","+"
"Rosenblatt","",""
"Rosenblum","","+"
"Rosenborg","",""
"Rosencranz","",""
"Rosendali","",""
"Rosenfeldi","",""
"Rosengårdi","",""
"Rosenheimeri","",""
"Rosenkampf","",""
"Rosenkampf-Jägerfreund","",""
"Rosenman","",""
"Rosenplänter","","+"
"Rosentelle","",""
"Rosenthal","","Rosental"
"Rosenzweigile","",""
"Roseoolid","",""
"Roses'i","",""
"Rosesi","",""
"Rosetta","","+"
"Rosette","","Rosett"
"Rosetti","","+"
"Rosgostsirk","",""
"Rosh","",""
"Rosheda","",""
"Roshiman","",""
"Rosi","",""
"Rosicky","",""
"Rosie","","Rõusi"
"Rosie-sugust","",""
"Rosiewicz","",""
"Rosinante","","Rosi'nante"
"Rosing","","+"
"Rosita","","+"
"Roskilde","","+"
"Roslak","",""
"Rosling","","+"
"Roslinile","",""
"Roslund","",""
"Roslyn","",""
"Rosma","",""
"Rosmariinioks","",""
"rosmarino'ga","",""
"Rosneft","","+"
"Rosneri","",""
"Rosomaki","",""
"Ross","","+"
"Ross-on-Waylt","",""
"Rossakoff","",""
"Rossakova","",""
"Rossana-Jamilah","",""
"Rossdale","",""
"Rossendale'i","",""
"Rossenile","",""
"Rosser","",""
"Rossetti","",""
"Rossi","","+"
"Rossi-sugune","",""
"Rossija","","rossiia"
"Rossinelli","",""
"Rossing","",""
"Rossingiga","",""
"Rossini","","Ros'sini"
"Rossiter","",""
"Rosski","",""
"Rossmann","",""
"ROSSMO","",""
"Rossporti","",""
"Rostad","",""
"Rostislav","","Rostis'lav"
"Rõstla","",""
"Rostock","","+"
"Rostoptšinat","",""
"Rostov","","+"
"Rostow","",""
"Rostropovitš","","Rostropoovitš"
"Rostrum","",""
"Roštša","","+"
"RosUkrEnergo","","Ros'Ukr'En'ergo"
"Roswell","","+"
"Rosy","","Rõusi"
"Rosza","",""
"Rota","","+"
"Rotala","",""
"Rotar","",""
"Rotaru","","Ro'taru"
"Rotary","","+"
"Rotebrost","",""
"Roterdam","",""
"Roth","","Raff"
"Roth-Steyr","",""
"Rothbergide","",""
"Rothchild","",""
"Rotherdami","",""
"Rotherham","","Radöräm"
"Rotherhide","","Rodöhaid"
"Rotherilt","",""
"Rothese","",""
"Rothesiga","",""
"Rothko","",""
"Rothman","","Rafman"
"Rothschild","","Rotšild"
"Rothstein","","Rot'štain"
"Rothsten","","Rotsten"
"Rothwell","","Rotvell"
"Roti-Pat","",""
"Roti-Rolandi","",""
"Rotie'd","",""
"Rotied","",""
"Rotinaatorit","",""
"Rotja","",""
"Rotonde'i","",""
"Rotrude","",""
"Rott-","",""
"Rott-roog","",""
"Rottageddon","",""
"Rotten","",""
"Rottenilt","",""
"Rotter","",""
"Rotterdam","","+"
"Rotterdami-Antwerpeni","",""
"Rottermanni","",""
"Rottinger","",""
"Rotuck","",""
"Rotundifolia","",""
"Roubidoux","",""
"Rõude","",""
"Rouen","","Ruaan"
"Roueriega","",""
"Rouge","","ruuž"
"Rough","",""
"Rougle","",""
"Roukola","",""
"Roulettenburg","",""
"Roumaine","",""
"Round","",""
"Roundi","",""
"Roundmoori","",""
"Roundup","","raund'app"
"ROURKE","",""
"Rouse'i","",""
"Rousing","",""
"Rousseau","","Russoo"
"Roussel","",""
"Route","","ruut"
"Routledge","","Ruut'ledž"
"Rouvelas","",""
"Rouxelle","","Ruksell"
"ROUZI","",""
"Rovaneimi","",""
"Rovaniemi","","+"
"Rover","","Rouver"
"Roversi","",""
"Rovinji","",""
"Rovio","",""
"Row","","rõu"
"Rowan","",""
"Rowen","",""
"Rowena","","Rou'iina"
"Rowetti","",""
"Rowland","","Rõuland"
"Rowlands","","Rõuländs"
"Rowley","","Rõuli"
"Rowley-Conwy","",""
"Rowntree","",""
"Roxane","",""
"Roxanne","","Roksänn"
"Roxburi","",""
"Roxette","","Roksett"
"Roxies","",""
"Roxolarra","",""
"RoxorLoops","",""
"Roxy","","Roksi"
"Roxy-tüdrukud","",""
"Roy","","+"
"Roy-poiss","",""
"Royal","","rojal"
"Royale","","Ro'jal"
"Royali-suguses","",""
"Royals'i","",""
"Royalsi","",""
"Royce","","Roiss"
"Royde'i","",""
"Royer","",""
"Royman","",""
"Royse'iga","",""
"Royston","","+"
"Roz","",""
"Rozafa","",""
"Rozake","",""
"Roždestvenski","",""
"Rozen","",""
"Rozenberg","",""
"Rozeni-suguse","",""
"Rozentale","",""
"ROZIN","",""
"Rozka-Pumpa","",""
"Rozmanitile","",""
"Rõžõi","",""
"RPG","",""
"RPG-7","",""
"RPG-sid","",""
"RPR-i","",""
"RRS","",""
"RS-09","",""
"RSHA","",""
"RSO-le","",""
"RSPB","",""
"Rt","",""
"RTBF","",""
"RTJ","",""
"RTLM","",""
"RTR-i","",""
"RTS","",""
"RTZ","",""
"Rùa","",""
"Ruahatu","",""
"Ruairi","",""
"Ruak","",""
"Ruandalane","",""
"Ruane","",""
"Rubadoux","",""
"Ruban","",""
"Rubato","",""
"Rubber","",""
"Ruben","",""
"Rubens","",""
"Rubes","",""
"Rubico","","+"
"Rubicu","",""
"Rubiidium","",""
"Rubik","","+"
"Rubiku","",""
"Rubinda","",""
"Rubingh","",""
"Rubinstein","","Rubinštein"
"Rubljov","","Rub'ljov"
"Rubljovka","","Rub'ljovka"
"Rubljovo","",""
"Rubo","",""
"Rubtsova","","Rubtsoova"
"Ruby","","Ruubi"
"Rucinski","",""
"Rucker","",""
"Rückerti","",""
"Rud","",""
"Rudby","",""
"Rudd","",""
"Ruddiger","",""
"Ruddy","","Raddi"
"Rudebox","",""
"Rudescul","",""
"Rudge","",""
"Rudimental","",""
"Rudling","",""
"Rüdnitzi","",""
"Rudolf","","+"
"Rudolfo","",""
"Rudolph","","Rudolf"
"Rudolpho","","Ru'dolfo"
"Rudy","","Rudi"
"Rudyard","","Radjöd"
"Rudzies","",""
"Rudzinski","",""
"Rue","","Ruu"
"RUF-i","",""
"Rufe","",""
"Ruffles","",""
"Rufina","",""
"Rufisque'ist","",""
"rufum)","",""
"Rufus","","+"
"Rufuse-sugustele","",""
"Rugby","",""
"rugelach'i","",""
"Rugeley","",""
"Rügemendilipsu","",""
"Rügemendiülem","",""
"Rügemendivanem","",""
"Rügeni","",""
"Ruger","",""
"Ruggerio","",""
"Ruggero","",""
"Ruggiero","",""
"Ruggles","","Ragls"
"Ruhindale","",""
"ruhipuu's","",""
"Ruhipuu'sse","",""
"Ruhnama","",""
"Ruhnu","","+"
"Ruhr","","Ruur"
"Ruhrgas","","Ruur gas"
"Ruhrpott","",""
"RUI","",""
"Ruislipi","",""
"Ruiss","",""
"Ruisseau","",""
"Ruiz","",""
"Ruiz-Picasso","",""
"Ruko","",""
"Rukola","",""
"rukola-Parmesanisalat","",""
"Rukolaga","",""
"Rukolasalat","",""
"Ruksana","",""
"Ruku","",""
"Ruky","",""
"Rulatamist","",""
"Rulatate","",""
"Ruldolf","",""
"RULE","",""
"Ruleerides","",""
"Rulesi","",""
"Ruletilaua","",""
"Ruletilaud","",""
"Rulls","",""
"Rulph","","Rulf"
"Rum","",""
"Rumalavõitu","",""
"Rumbold","",""
"Rumboldi-nimelise","",""
"Rumeenia","","+"
"Rumer","",""
"Rumi","",""
"Rumjantsev","","Rum'jantsev"
"Rummikubi","",""
"Rummo","","+"
"rummy't","",""
"Rumours","",""
"Rumpelstiltskin","","+"
"Rumple","","Rampl"
"Rumpo","",""
"Rumsfeld","","+"
"Run","",""
"Runar","",""
"Runarsson","",""
"Runavik","",""
"Runaway","","ranövei"
"Runbjarni","",""
"Runcie","","Runsi"
"Runcorn","",""
"Runde","","+"
"Rundelli","",""
"Rundschau","","Rund'šau"
"Rune","","+"
"Runeberg","","+"
"Runechasse","",""
"Runfeldt","",""
"Runge","",""
"Rünnakrühm","",""
"Rünnakvägi","",""
"Runnel","","+"
"Runner","",""
"Running","",""
"Ruoholahti","",""
"RuokaNysse","",""
"RUOLIN","",""
"Ruotsalainen","",""
"Ruotsalaisele","",""
"Ruotsinsalme","",""
"Ruovesi","",""
"Ruowang","","Žuo'vang"
"RuPaul","",""
"Rupert","","+"
"RUPis","",""
"Rupnik","",""
"Rupo","",""
"Ruppenglueck","",""
"Ruppert","",""
"Ruppy","",""
"Ruprecht","",""
"Rupsha","",""
"Ruria","",""
"RURO-ga","",""
"RURO-t","",""
"Rus","",""
"Rušailo","",""
"Rüschlikoni","",""
"Rush","","Rašš"
"Rushbridge","","Rašš'bridž"
"Rushdie","","Rašdi"
"Rushgan","",""
"Rushi","",""
"Rushkoff","",""
"Rushmore","","Raš'mor"
"Rusholme","","Raš'holm"
"Rushton","","Rašton"
"Rusinka","",""
"Rusja","",""
"Ruskinit","",""
"Ruslan","","Rus'lan"
"Ruslana","","Rus'lana"
"Ruspanti","",""
"Russa","",""
"Russakov","","Russa'kov"
"Russalka","","Russ'alka"
"Russanov","","Rus'sanov"
"Russeli","",""
"Russelile","",""
"Russell","","Rassell"
"Russia","",""
"Russian","",""
"Russians","",""
"Russkaja","","+"
"Russo","","+"
"Russwurm","",""
"Rust","","Rast"
"Rustage","",""
"Rustam","","Rus'tam"
"Rustamiyah'sse","",""
"Rustavi","","+"
"Rüstem","",""
"Rustica","",""
"Rustikaalne","",""
"Rustin","",""
"Rusudan","",""
"Rusvik","",""
"Rutberg","",""
"Rutgers","","Ratgers"
"Ruth","","Rutt"
"Rutheford","",""
"Rutherford","","Radefood"
"Ruthi-nimeline","",""
"Ruthie","",""
"Ruthigi","",""
"Ruthike","",""
"Ruthy","",""
"Ruti","",""
"Rutland","",""
"Rutledge'i","",""
"Rutley","",""
"Rutshurut","",""
"Rutskoi","",""
"Rutter","",""
"Ruttu-ruttu","",""
"Ruttu-ruttu-ruttu-ruttu","",""
"Ruubidaks","",""
"Ruud","",""
"Rüüdimunad","",""
"Ruuro","",""
"Ruus","","+"
"Ruusmäe","",""
"Rüütelkond","",""
"Rüütelkonna","",""
"Rüütelviu","",""
"Rüütlikslöömisel","",""
"Ruwenzori","",""
"Ruyter","",""
"RVGM","",""
"Rwanda","","Ru'anda"
"RWF","",""
"RWF-i","",""
"RX-8","",""
"Ryad","",""
"Ryan","","Raian"
"Ryanair","",""
"Ryani-suguse","",""
"Rybak","","Rõbak"
"Rybicka","",""
"Rybicki","",""
"Rybotycki","",""
"Ryd","",""
"Rydal","",""
"Rydale'i","",""
"Rydell","",""
"Rydeparkenis","",""
"Ryder","",""
"Rydland","",""
"Rye","","Rai"
"RYERSON","",""
"Ryfus","",""
"Rygalski","",""
"Rygårdi","",""
"Rygårdsi","",""
"Rygate'is","",""
"Rygge","",""
"Ryhänen","",""
"Rykiel","",""
"Ryland","","Railand"
"Rylandi-suguseid","",""
"Ryle","",""
"Ryman","",""
"RYN","",""
"ryo'd","",""
"Ryogoku","",""
"Ryoko","",""
"Ryomo","",""
"Ryparkenis","",""
"Rysanek","",""
"Rysinski","",""
"Ryson&Fairley","",""
"RYTAS","",""
"Ryter","",""
"Ryukyu","",""
"Ryvangi","",""
"Røa","",""
"Rødalenis","",""
"Rødby","",""
"Rødovresse","",""
"Rølmer","",""
"Rømer","",""
"Rønes","",""
"Rønesetis","",""
"Rønningsbakken","",""
"Rørosi","",""
"Røssvatn","",""
"Røsti-reisilt","",""
"Røstil","",""
"S","",""
"S&P","",""
"S&R-i","",""
"S'Agapisa","",""
"s'aimer","",""
"S'il","",""
"S-2na","",""
"S-a-l","",""
"S-A-S-S","",""
"S-Bahn'i","",""
"S-h-a-m-h-a-n-a","",""
"S-häälikut","",""
"S-i","",""
"S-laineala","",""
"S-õmblusega","",""
"S-p-a-d-o-l-a","",""
"S-Ryhmä","",""
"S-S-S-E-T","",""
"S-S-S-U-N","",""
"S-s-sa","",""
"S-s-see","",""
"S-s-sest","",""
"S-tähe","",""
"S-toru","",""
"S-tüüpi","",""
"S-U-N-S-E-T","",""
"S019-ga","",""
"S1","",""
"S2","",""
"S21","",""
"S315","",""
"S4C","",""
"S600","",""
"S71","",""
"ša'","",""
"SA'ADA","",""
"SA-mehed","",""
"SA-s","",""
"SA-sõdurit","",""
"Saab-saab","",""
"Saabi","",""
"saabTa","",""
"Saabye","",""
"Saachi","",""
"Saadetigi","",""
"Saadia","",""
"Saaib","",""
"Saakašvili","","+"
"Saakjan","",""
"Sääksmäe","",""
"Saalemi","",""
"Saalomon","","+"
"Saalomongi","",""
"saamaTrygve","",""
"saan'd","",""
"Saan-saan","",""
"Saana","",""
"saan`d","",""
"Saara","",""
"Saara-Saara","",""
"Saarakene","",""
"Saard","",""
"Sääre-","",""
"Saare-Lääne","",""
"Saaremaa-suurusel","",""
"Saarepera","",""
"Saarijärvis","",""
"Saarikangase","",""
"Saarinen","",""
"Saaritsale","",""
"Saarmaa","",""
"Saarovi","",""
"Saarskoje","",""
"Saas-Fees","",""
"Saastamainen","",""
"Saastamoinen","",""
"Saatchi","",""
"Saatjadaamina","",""
"Saatse","",""
"Saavutuspunkte","",""
"Šabac","",""
"Sabah","",""
"Sabanci","",""
"Sabatiküünalt","",""
"Sabatilauale","",""
"Sabawi","",""
"Sabbas","",""
"Sabbath","","Sabat"
"Sabbatsbergi","",""
"Sabella","",""
"Sabena","",""
"Saber","",""
"Sabere","","+"
"Sabie","",""
"Sabiinitaride","",""
"Sabine","",""
"Sable'st","",""
"Sablerit","",""
"Šablovkal","",""
"Sabna","",""
"Sabonis","","Sa'bonis"
"Saboriot","",""
"Saboteerimisülesannet","",""
"Sabra","",""
"Sabrina","","+"
"Sabrine","","+"
"Sabrosõn","",""
"Saburov","","Sab'urov"
"Sacchi","",""
"Sacco","",""
"Sacha","",""
"Sacher","","Sahher"
"Sacher-Masochi","",""
"Sachiko","","Satšiko"
"Sachini","",""
"Sachs","","Sahs"
"Sacit","",""
"Sack","",""
"Sacks","",""
"Sackvilles","","Säkk'vills"
"Sacramento","","+"
"Sacre","",""
"Sacré-Cúurist","",""
"Sacro","",""
"Sad","",""
"Sadai","",""
"Sadakat","",""
"Sadako","",""
"Sadalski","",""
"Sadama-ala","",""
"Sadamakapten(Rootsi)","",""
"sadaqa'st","",""
"Sadati","",""
"Sadaullah","",""
"Sadbin","",""
"Sadburyde","",""
"SADC","",""
"Saddam","","Sa'dam"
"Saddami-järgse","",""
"Saddiki","",""
"Sadducismus","",""
"Sadeeki","",""
"Sadeharju","",""
"Sadhu","",""
"Sadie","","Seidi"
"Sadiq","",""
"Sadistirämps","",""
"Sadler","","Sädler"
"SADMA","",""
"Sado-maso","",""
"Sado-masohhism","",""
"Sado-masohhist","",""
"SADREDDINE","",""
"Sadri'd","",""
"Šadrini","",""
"Sadybas","",""
"Saeed","",""
"Saf","",""
"Safar","",""
"SAFE","",""
"SAFE-dopingutesti","",""
"Šaferan","",""
"SafeTexi","",""
"Safety","",""
"Safia","",""
"Safiga","",""
"Safina","",""
"Šafirov","",""
"Safronova","","Safr'onova"
"Saftaui","",""
"Safura","",""
"Saga","","Saaga"
"Sagadarata","",""
"Sagadi","","+"
"Sagae","",""
"Sagan","",""
"SAGDEJEV","",""
"Sage'i","",""
"sagedast'","",""
"Sageehtil","",""
"Sageethi","",""
"Sager","",""
"Sager/Testa/Renis","",""
"Sageriga","",""
"Sägesseril","",""
"Saginaw","",""
"Sagitaalne","",""
"Sagitov","",""
"Sagoo","",""
"Sagrada","",""
"Sagrario","",""
"Sagresel","",""
"Sagrits","",""
"Sagritsa","",""
"Sagua","",""
"Saguy","",""
"Saguy/","",""
"Sahajuht","",""
"Sahameeskonna","",""
"Sahar","",""
"Sahara","","+"
"sahasranama't","",""
"Saheita","",""
"Sahhalin","","+"
"Sahharnaja","",""
"Sahharov","","+"
"Šahiid","",""
"Sahila","",""
"Sahker-mahker","",""
"Sahki","",""
"Sähköautot-Nyt","",""
"Sahl","","Saal"
"Sahlberg","","Saalberg"
"Sahlgrenska","","Saalgrenska"
"Sahlin","","Saliin"
"Šahnazarov","",""
"Sahore","",""
"Sahrawi","",""
"Šahrimardanis","",""
"Šahtjor","","Šahtjorr"
"Sahulini","",""
"Saidaparved","",""
"Saidki","",""
"Saidu","",""
"Saientistid","",""
"Saientoloogia","",""
"SAIF","",""
"Saige","",""
"Saigi","",""
"Saigon","","Saigoon"
"SAIL","",""
"Sailor","",""
"Sailor's","",""
"Saima","",""
"Saimegi","",""
"Sainahhov","",""
"Saingi","",""
"Sainsbury","","Seins'böri"
"Saint","",""
"Saint-Claire'is","",""
"Saint-Clairist","",""
"Saint-Denis","",""
"Saint-Dizier","",""
"Saint-Esteve","","Sän'esteev"
"Saint-Etienne'il","",""
"Saint-Exupery","","Säänt Eksüperii"
"Saint-Flovier'st","",""
"Saint-Gaudensis","",""
"Saint-Germaini","",""
"Saint-Gilles","",""
"Saint-Hélene","","Sään'heleen"
"Saint-Jacquesil","",""
"Saint-John-in-the-Foresti","",""
"Saint-Julien","",""
"Saint-Just","",""
"Saint-Laurent-des-Eaux","",""
"Saint-Lo","",""
"Saint-Malo","",""
"Saint-Michelile","",""
"Saint-Mihielis","",""
"Saint-Nazaire'i","",""
"Saint-Omer","",""
"Saint-Paulini","",""
"Saint-Quentin","",""
"Saint-Saensi","",""
"Saint-Saveur","",""
"Saint-Serge'i","",""
"Saint-Tropez","","Säänt Tropeez"
"Saint-Victoire'i","",""
"Saintclair","",""
"SaintDizier's","",""
"Sainte-Catherine'i","",""
"Sainte-Colombe","",""
"Sainte-Guduli","",""
"Sainte-Maxime'i","",""
"Sainte-Pélagie'","",""
"Sainte-Sabine'i","",""
"Sainte-Victoire'i","",""
"Saisio","",""
"Saito","",""
"Saja-aastane","",""
"Saja-aastase","",""
"Saja-aastasel","",""
"Sajda","",""
"Sajida","",""
"Sajimast","",""
"Sajjangarh","",""
"Sajnovics","",""
"Sajudis","","Saajudis"
"Saka","",""
"Sakari","",""
"Sakarias","",""
"Sakarja","",""
"Sakax","",""
"Sakhizada","",""
"Sakia","",""
"Sakir","",""
"Šakjamuni","","+"
"Sakji","",""
"Sakkeus","",""
"Sakrimoonia","",""
"Sakrozy","",""
"Saksa-Hollandi","",""
"Saksa-Poola","",""
"Saksa-Rooma","",""
"Saksa-vastaseid","",""
"Saksa-Vene","",""
"Saksamaa-Ameerika","",""
"Saksamaa-Brasiilia","",""
"Saksamaa-Inglismaa","",""
"Saksamaa-kontsertidel","",""
"Saksamaa-NSV","",""
"Saksamaa-Poola","",""
"Saksamaa-ringreisiks","",""
"Saksamaa-vastane","",""
"Saksamaa-vastase","",""
"Saksamaa-visiit","",""
"Saksi-Coburg-Gotha","",""
"Saksi-Gwenda","",""
"Saksimaa","","+"
"Saksmaaga","",""
"Saku","",""
"sakura't","",""
"Sal","",""
"Sal-Saller","","+"
"Salaam","",""
"Salaam-alaikum","",""
"Salaamiviilud","",""
"Salaca","",""
"Salafistid","",""
"Salah","",""
"Salaheddini","",""
"Salahedine'i","",""
"Salahhov","",""
"Salamanca","","+"
"Salamunovich","",""
"Salander","","+"
"Salander-Wu","",""
"Salanderi-lipakas","",""
"Salangi","",""
"SALANGUI","",""
"Salaspils","","+"
"Salati-","",""
"Salazar","","+"
"Salazkinilt","",""
"Salbutamoli","",""
"Salbutamool","",""
"Salbutamooli","",""
"Salbutamoolilahus","",""
"Salbutasool","",""
"Salcedo","",""
"Saldejumps","",""
"Saldus","","+"
"Sale'i","",""
"Saleem","","Sa'lim"
"SALEH","",""
"Salehard","","Sale'hard"
"SALEM","",""
"Salenemistablett","",""
"Salerno","","+"
"Salewicz","",""
"Salf","",""
"Salford","",""
"Salganile","",""
"Sälgutage","",""
"Saliani","",""
"Salieri","",""
"Šalif","",""
"Salih","",""
"Salimi","",""
"Salin","",""
"Saline","","Saliin"
"Salinger","","Sälindžer"
"Salino","","+"
"Salisbury","","Soolzböri"
"Salitsülaadid","",""
"Šaljapin","","+"
"Šalkauskase","",""
"Salkin","",""
"Salla","",""
"Salladhor","",""
"Sällberg","",""
"Sallier","",""
"Salling","",""
"Sallingfeldti","",""
"Sally","","Sälli"
"Sally-Anne'iga","",""
"Salma","",""
"Salman","","+"
"Salmanasar","",""
"Salmaniya","",""
"Salmela","",""
"Salmenperä","",""
"Salmet","",""
"Salminen","","Sallminen"
"Salmon","","+"
"Salmond","","+"
"Salmonella","",""
"Salmonella'ga","",""
"Salmonellat","",""
"Salnikov","","+"
"Salo","",""
"Šalom","","šalomm"
"Salomaa","","Salo'maa"
"Salomé","","Salomee"
"Salomon","",""
"Salon","",""
"Saloniki","","+"
"Saloome","",""
"salsa","","+"
"Salsakaste","",""
"Salsamuusika","",""
"Salsapidu","",""
"Salsatame","",""
"Salsavõitlus","",""
"Salsbergid","",""
"Salsomaggiore","",""
"Salt","","Soolt"
"Salt-n-Pepa","",""
"Saltaan","","+"
"Saltan","","Saltaan"
"Saltanat","",""
"Saltburn","","Saltburn"
"Salter","",""
"Saltertonis","",""
"Saltfleetby","",""
"Saltholm","",""
"Saltin","",""
"Saltõkova","","Saltõ'kova"
"Saltonis","",""
"Saltum","",""
"Salty","","soolti"
"Saltzman","",""
"Saluhallenist","",""
"Saluri","","+"
"Salut","",""
"Šalva","",""
"Salvador","","+"
"Salvation","",""
"Salvator'sis","",""
"Salvatore","","+"
"Salvesen","",""
"Salvestamistehnoloogia","",""
"Salvianole","",""
"Salvos","",""
"Šalvovna","",""
"Salzburg","","Zaltsburg"
"Sam","","Säm"
"SAM-e","",""
"SAM-id","",""
"Šamaanirännak","",""
"Samalil","",""
"Šamanov","",""
"Samantha","","+"
"Samar","",""
"Samara","","Sa'mara"
"Samaranch","","Samarantš"
"Samarkand","","+"
"Samarra","","+"
"Samay","",""
"Sambath","",""
"Sambia","","+"
"Sambuca","",""
"Samburu","",""
"Sambuson","",""
"Samdingkha","",""
"Samedi","",""
"Sameen","",""
"Samgrass","",""
"Sami-suguseid","",""
"Sami-suguste","",""
"Sami-taolisi","",""
"Samingo","",""
